,title,release_year
807,serendipity,2001
808,date night,2010
809,the scorpion king,2002
810,urban legends: final cut,2000
811,night at the museum: battle of the smithsonian,2009
812,pirates of the caribbean: on stranger tides,2011
813,night at the museum: secret of the tomb,2014
814,child's play 2,1990
815,elizabeth,1998
816,home,2015
817,milk,2008
818,what's eating gilbert grape,1993
819,shame,2010
820,real steel,2011
821,warcraft,2016
822,death becomes her,1992
823,she's the one,1996
824,nim's island,2008
825,war horse,2011
826,project almanac,2015
827,just go with it,2011
828,epic,2013
829,the devil's advocate,1997
830,red dragon,2002
831,sherlock holmes: a game of shadows,2011
832,salt,2010
833,american gangster,2007
834,transporter 2,2005
835,bedtime stories,2008
836,world war z,2013
837,prisoners,2013
838,mission: impossible iii,2006
839,edward scissorhands,1990
840,captain america: the first avenger,2011
841,august rush,2007
842,perfume: the story of a murderer,2006
843,old dogs,2009
844,days of thunder,1990
845,creepshow,1982
846,50 first dates,2004
847,ghost rider: spirit of vengeance,2012
848,soul surfer,2011
849,we own the night,2007
850,silent hill: revelation 3d,2012
851,jumper,2008
852,"big mommas: like father, like son",2011
853,derailed,2005
854,legion,2010
855,underworld: rise of the lycans,2009
856,how high,2001
857,shortbus,2006
858,riddick,2013
859,world trade center,2006
860,it's complicated,2009
861,kiss of the dragon,2001
862,star trek,2009
863,daybreakers,2010
864,evita,1996
865,horrible bosses 2,2014
866,can't hardly wait,1998
867,coach carter,2005
868,doubt,2008
869,double jeopardy,1999
870,beastly,2011
871,yentl,1983
872,coyote ugly,2000
873,mad max: fury road,2015
874,contraband,2012
875,30 days of night,2007
876,this is 40,2012
877,dr. dolittle 2,2001
878,unbroken,2014
879,sweet charity,1969
880,batman begins,2005
881,eyes wide shut,1999
882,eragon,2006
883,she's out of my league,2010
884,elysium,2013
885,x-men origins: wolverine,2009
886,white fang,1991
887,dangerous liaisons,1988
888,megamind,2010
889,insomnia,2002
890,sky high,2005
891,brick mansions,2014
892,star trek into darkness,2013
893,escape plan,2013
894,ex machina,2015
895,couples retreat,2009
896,v for vendetta,2005
897,safe house,2012
898,max payne,2008
899,paul,2011
900,cloudy with a chance of meatballs,2009
901,scream 4,2011
902,phantasm ii,1988
903,date movie,2006
904,eraser,1996
905,j. edgar,2011
906,8mm,1999
907,"you, me and dupree",2006
908,this means war,2012
909,house of 1000 corpses,2003
910,we bought a zoo,2011
911,law abiding citizen,2009
912,black christmas,2006
913,lara croft: tomb raider,2001
914,get on the bus,1996
915,oblivion,2013
916,percy jackson & the olympians: the lightning thief,2010
917,beverly hills cop iii,1994
918,unfaithful,2002
919,angels & demons,2009
920,42,2013
921,akeelah and the bee,2006
922,good luck chuck,2007
923,flatliners,1990
924,texas chainsaw 3d,2013
925,independence day: resurgence,2016
926,tron: legacy,2010
927,abduction,2011
928,six days seven nights,1998
929,star trek v: the final frontier,1989
930,whatever works,2009
931,because of winn-dixie,2005
932,training day,2001
933,halloween 5: the revenge of michael myers,1989
934,secretary,2002
935,secret window,2004
936,open season,2006
937,first knight,1995
938,the shining,1980
939,pitch black,2000
940,hall pass,2011
941,risen,2016
942,in bruges,2008
943,miracle,2004
944,thirteen,2003
945,olympus has fallen,2013
946,peggy sue got married,1986
947,contagion,2011
948,the expendables 3,2014
949,underworld: awakening,2012
950,tangled,2010
951,wrong turn,2003
952,striptease,1996
953,pacific rim,2013
954,road to perdition,2002
955,becoming jane,2007
956,tombstone,1993
957,cradle 2 the grave,2003
958,cellular,2004
959,stuart little,1999
960,jaws: the revenge,1987
961,get him to the greek,2010
962,talladega nights: the ballad of ricky bobby,2006
963,kiss the girls,1997
964,you don't mess with the zohan,2008
965,knight and day,2010
966,"i love you, man",2009
967,prince of persia: the sands of time,2010
968,casino,1995
969,underworld: evolution,2006
970,red eye,2005
971,trading places,1983
972,flubber,1997
973,executive decision,1996
974,before sunrise,1995
975,dreamgirls,2006
976,snowpiercer,2013
977,analyze this,1999
978,pete's dragon,2016
979,x-men: first class,2011
980,moneyball,2011
981,max,2015
982,frequency,2000
983,exorcist ii: the heretic,1977
984,spawn,1997
985,courage under fire,1996
986,cold mountain,2003
987,half baked,1998
988,corky romano,2001
989,terminator 3: rise of the machines,2003
990,hotel rwanda,2004
991,zoolander,2001
992,kick-ass 2,2013
993,but i'm a cheerleader,1999
994,jingle all the way,1996
995,conversations with other women,2005
996,2 guns,2013
997,charlie's angels: full throttle,2003
998,mud,2013
999,takers,2010
1000,mirror mirror,2012
1001,cheaper by the dozen 2,2005
1002,revolutionary road,2008
1003,chappie,2015
1004,from hell,2001
1005,tomcats,2001
1006,hanna,2011
1007,zookeeper,2011
1008,red riding hood,2011
1009,end of days,1999
1010,rise of the guardians,2012
1011,dick,1999
1012,made of honor,2008
1013,side effects,2013
1014,changing lanes,2002
1015,lake placid,1999
1016,hereafter,2010
1017,a most wanted man,2014
1018,bad boys ii,2003
1019,flirting with disaster,1996
1020,agent cody banks,2003
1021,chicken little,2005
1022,turbo,2013
1023,runner runner,2013
1024,this is where i leave you,2014
1025,lucky number slevin,2006
1026,edge of tomorrow,2014
1027,orphan,2009
1028,ghost rider,2007
1029,coraline,2009
1030,blue crush,2002
1031,mirrors,2008
1032,maximum risk,1996
1033,dumb and dumberer: when harry met lloyd,2003
1034,bolt,2008
1035,man of the year,2006
1036,her,2013
1037,friends with money,2006
1038,amistad,1997
1039,changeling,2008
1040,four brothers,2005
1041,four christmases,2008
1042,tropic thunder,2008
1043,tower heist,2011
1044,lethal weapon 4,1998
1045,invictus,2009
1046,reno 911!: miami,2007
1047,dragonheart,1996
1048,galaxy quest,1999
1049,cube,1997
1050,double impact,1991
1051,wrath of the titans,2012
1052,eddie the eagle,2016
1053,hollow man,2000
1054,in too deep,1999
1055,don't say a word,2001
1056,teenage mutant ninja turtles iii,1993
1057,intolerable cruelty,2003
1058,21,2008
1059,what to expect when you're expecting,2012
1060,daylight,1996
1061,blade: trinity,2004
1062,127 hours,2010
1063,space cowboys,2000
1064,the legend of tarzan,2016
1065,license to wed,2007
1066,jennifer's body,2009
1067,step brothers,2008
1068,guess who,2005
1069,poetic justice,1993
1070,freedom writers,2007
1071,homefront,2013
1072,confessions of a teenage drama queen,2004
1073,ghost ship,2002
1074,silent hill,2006
1075,moon,2009
1076,the book of life,2014
1077,must love dogs,2005
1078,superman iii,1983
1079,percy jackson: sea of monsters,2013
1080,stardust,2007
1081,wall street: money never sleeps,2010
1082,bee movie,2007
1083,aquamarine,2006
1084,exodus: gods and kings,2014
1085,young adult,2011
1086,rounders,1998
1087,memoirs of a geisha,2005
1088,contact,1997
1089,rushmore,1998
1090,the good dinosaur,2015
1091,jack and jill,2011
1092,hellboy ii: the golden army,2008
1093,how stella got her groove back,1998
1094,bedazzled,2000
1095,mr. peabody & sherman,2014
1096,black hawk down,2001
1097,syriana,2005
1098,snakes on a plane,2006
1099,3 days to kill,2014
1100,seven years in tibet,1997
1101,after earth,2013
1102,goodfellas,1990
1103,deep impact,1998
1104,antwone fisher,2002
1105,monster house,2006
1106,escape from planet earth,2013
1107,black mass,2015
1108,crocodile dundee in los angeles,2001
1109,munich,2005
1110,finding forrester,2000
1111,terminator salvation,2009
1112,star trek beyond,2016
1113,the longest ride,2015
1114,cop out,2010
1115,savages,2012
1116,rush hour 3,2007
1117,bernie,2012
1118,firewall,2006
1119,my best friend's girl,2008
1120,conspiracy theory,1997
1121,layer cake,2004
1122,any given sunday,1999
1123,lilo & stitch,2002
1124,all about the benjamins,2002
1125,rango,2011
1126,barry lyndon,1975
1127,blue streak,1999
1128,adventureland,2009
1129,lions for lambs,2007
1130,be cool,2005
1131,hot tub time machine,2010
1132,hulk,2003
1133,stranger than fiction,2006
1134,paranorman,2012
1135,failure to launch,2006
1136,just like heaven,2005
1137,shanghai knights,2003
1138,stir of echoes,1999
1139,alice through the looking glass,2016
1140,being john malkovich,1999
1141,big fish,2003
1142,surf's up,2007
1143,gangster squad,2013
1144,along came a spider,2001
1145,legend of the guardians: the owls of ga'hoole,2010
1146,joe dirt,2001
1147,tea with mussolini,1999
1148,in the land of women,2007
1149,under siege 2: dark territory,1995
1150,g.i. joe: the rise of cobra,2009
1151,crank: high voltage,2009
1152,our idiot brother,2011
1153,captain phillips,2013
1154,stigmata,1999
1155,pocketful of miracles,1961
1156,secretariat,2010
1157,arachnophobia,1990
1158,mortal kombat: annihilation,1997
1159,something borrowed,2011
1160,blood diamond,2006
1161,seabiscuit,2003
1162,lost in space,1998
1163,she's the man,2006
1164,florence foster jenkins,2016
1165,star trek: insurrection,1998
1166,joy,2015
1167,jersey boys,2014
1168,spaceballs,1987
1169,unstoppable,2010
1170,friday after next,2002
1171,brothers,2009
1172,requiem for a dream,2000
1173,death race,2008
1174,dark shadows,2012
1175,predator 2,1990
1176,kingdom of heaven,2005
1177,burlesque,2010
1178,abraham lincoln: vampire hunter,2012
1179,out of sight,1998
1180,body of lies,2008
1181,mo' better blues,1990
1182,last action hero,1993
1183,9,2009
1184,lockout,2012
1185,muppets most wanted,2014
1186,2046,2004
1187,paycheck,2003
1188,fight club,1999
1189,you again,2010
1190,exit wounds,2001
1191,joy ride,2001
1192,team america: world police,2004
1193,fool's gold,2008
